"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x5383c739e4bc424b60cbf9528faf7de01a5abcdebf28d0d68216479b3819dd65","1619827362",2021-05-01 00:02:42,Sell,74959409239.8211, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x1254ae7b139a0144688088873c7ce037c795540f65540b4ec1c818f47bc2811a","1619828148",2021-05-01 00:15:48,Sell,5351861213.66526, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7a17d713fafa75aff83b06a11e38cdfc4576f9c66ddd443b179891a64d48f468","1619828172",2021-05-01 00:16:12,Sell,1961975787691.25, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xce0ea6e3711b6d64a7085ab32fd1f739322048cdd74656cb71ce1957df6f946c","1619828894",2021-05-01 00:28:14,Sell,6480901852031.02, BUNNY, 0.0653025455570012, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x45f8972f1328d4e3b240787f8b35a32c7122d5d2efa204927c120271a613f9f1","1619829072",2021-05-01 00:31:12,Sell,5192423.06831692, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x45f8972f1328d4e3b240787f8b35a32c7122d5d2efa204927c120271a613f9f1","1619829082",2021-05-01 00:31:22,Sell,5192423.06831692, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x5084db00993756a0b1b9ba4797ed52023b43bb68d2051961be9b905041ff5497","1619829336",2021-05-01 00:35:36,Sell,9668955229.3775, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xc1820579cbe36f341bb572e8a583661ba6d7518d862065060b2da7a42d66c1ed","1619829584",2021-05-01 00:39:44,Sell,194521355921.972, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x5612b37893c69333872aae30ec36774f700059562a77c8a280890ff1dbeb4c28","1619830234",2021-05-01 00:50:34,Sell,15343020740.4141, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x38105aed12417ee6f5b85837e85922e7031a46dbca4b87740cb43f20bb020436","1619830584",2021-05-01 00:56:24,Sell,40904589035.3271, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x7ed1fe1fd03f73985568672a3f62b63a696283f5bc45e796f87ae620981be384","1619830692",2021-05-01 00:58:12,Sell,262642751639.189, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xae532e874a7822188b2276837770f4118730ffac20d1da9d0b029e806538baf5","1619830914",2021-05-01 01:01:54,Sell,20163225559256.6, BUNNY, 0.20369281850457, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xf6563d52e4ff39b55525bef0a97a6558410287dcdb348a3057cdf327a1a37b9b","1619831103",2021-05-01 01:05:03,Sell,6785324366.58056, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x208a6de9d212714a8a21b77b0f37dfe0b8149188fab7496b68bc7980124502fb","1619831315",2021-05-01 01:08:35,Sell,111089963155918, BUNNY, 1.11587494029963, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xcf2133a316a4a0bc9edcac8e03f6c02c14ba2a60bd71eb319efa62faa0f37bb9","1619831863",2021-05-01 01:17:43,Sell,7258798150619.13, BUNNY, 0.0725349528646261, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xda0176e8bf6c4d6549947c6e678dec6a670b584fcfcb1edcaed8996c7920268e","1619832416",2021-05-01 01:26:56,Sell,970807027613.051, BUNNY, 0.00969748054453965, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x077812c3dc9457bada76d9452ded8c00b20cef058d556c059e384be90b145486","1619832818",2021-05-01 01:33:38,Sell,2655804826235, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xc75f1f75da645e857eb76034df2e4ca1f46e8e1ca05a33913d9e8c56593cf378","1619833466",2021-05-01 01:44:26,Sell,27957533759.6706, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x648a2590cab2462ac0b6f1e73a1a228b84720b283d8970163440c31e5dc1e372","1619834271",2021-05-01 01:57:51,Sell,12542614794253.6, BUNNY, 0.128090069613895, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x66cae146dc6b28699d4a98aaedaca0022560a065d53f46033c5d2e97bf391799","1619834734",2021-05-01 02:05:34,Sell,202014018934.122, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xbdda2fb900ad7dbebe027dad732f87a86e52f1a45c12139317b80e671ffd327b","1619835059",2021-05-01 02:10:59,Sell,4036745881.19977, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xb6f343f3fceb3662d5a012c5b70f97a207a1ec7a40000d6bc96f1b382e3618db","1619837706",2021-05-01 02:55:06,Sell,9943131220624.16, BUNNY, 0.101620097206869, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x50dec00c5810c17c9ef1be606b272453ba616f2c458b17c0cb2302e6e8bb6c60","1619838667",2021-05-01 03:11:07,Sell,141321633127.341, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x30231aa524763948e092b5e51d23a6d073f4c21c43f53ee55472fd7bfce93523","1619839592",2021-05-01 03:26:32,Sell,13494572442.2289, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x8dd0a3a7c424537951552eae7f3b18c01cf1198fa72800827a49d39fc7a7a6be","1619839788",2021-05-01 03:29:48,Sell,6843366575553.66, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x02fcbaf18d4197381742716cc2a26db85a9b104118e6b9fc0633cb81c36eae7b","1619841445",2021-05-01 03:57:25,Sell,104364090914.943, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x610192d817e81cf9c1943e33ca7f683d6ecc8ff6a67db93741bd61dda7525c9e","1619841512",2021-05-01 03:58:32,Sell,1896556757.5705, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x9c80d7eefae4efcda56d7cd5f726ec038d4d0e17c337c7fd1e9d96c06202123f","1619841790",2021-05-01 04:03:10,Sell,104259279317.96, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x15cca7bd171de72681067a8ba69e717a04eef4eb1bac3eb674a86423f2afa4bb","1619841894",2021-05-01 04:04:54,Sell,10104940045993.2, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xb98e4e67ecf720e23265a6cfed793798d9ba6d9b6f0e3d35f60a31666e13d0f8","1619841902",2021-05-01 04:05:02,Sell,3122409629524.6, BUNNY, 0.0339314475474662, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xe5819c052ddf0b2bb665545df7b51858a95a2cb7bd9d72245652267254e10e23","1619842412",2021-05-01 04:13:32,Sell,1506318060662.91, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x17e31f5db71d0e75a0f67bb48941f9839fe9ee6495673761607b7814a5287966","1619843118",2021-05-01 04:25:18,Sell,112949235368.644, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x17e31f5db71d0e75a0f67bb48941f9839fe9ee6495673761607b7814a5287966","1619843118",2021-05-01 04:25:18,Sell,112949235368.644, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
